HHID,HH size,Socialgroup,Religion,HHclassification,Land owned (hectares),Land possessed (hectares),Total monthly consumption expenditure (INR),Monthly income from non farm activity (INR),Monthly income from wage employment (INR),Monthly income from farming of animals (INR),Monthly income from crop production (INR),Total Monthly Income (INR),Frequency weight
72537501,7,9,4,1,8.173,8.173,29917,0,0,17900,85683.34,103583.3,527
72538201,5,2,4,6,0.008,0.008,9588,0,6033.333,2700,0,8733.334,180
72538202,5,2,4,6,0.016,0.016,13923,0,16916.67,1260,0,18176.67,180
72538301,3,9,4,1,1.231,1.636,12250,0,0,4266.667,14863.33,19130,162
72538302,5,9,4,1,6.917,0.437,20558,0,0,210,2173.5,95883.5,162
72538401,4,9,4,1,1.276,1.276,14942,0,0,2410,14024.17,16434.17,108
72538402,7,9,4,1,1.231,1.231,15344,0,0,17736.67,12556.92,30293.58,108
72538501,2,9,4,1,3.698,3.698,11458,0,0,-3396.667,40173.33,36776.66,126
72538502,8,9,4,1,4.475,9.335,27667,0,0,7450,22707.5,30157.5,126
72539201,5,2,4,4,0.008,0.008,9354,5333.333,7000,-213.3333,0,12120,3690
72539202,5,9,4,2,1.154,0.547,14463,0,0,13066.67,118.3333,16518.33,3690
72539301,4,9,4,2,0.101,0.506,10458,0,0,13533.33,254.1667,13787.5,2460
72539401,5,9,4,1,1.701,1.701,15725,0,0,4386.667,14500.42,18887.08,492
72539402,6,9,4,1,1.255,1.255,20025,41000,30000,11300,15297.42,97597.41,492
72539501,2,9,4,1,2.3,2.3,14883,0,0,2874.333,36775,39649.33,2829
72539502,7,9,4,1,1.154,5.306,28492,0,80500,18373.33,431,99304.34,2829
72540201,5,2,4,2,0.008,0.008,15417,0,12083.33,10426.67,0,22510,2456
72540202,6,9,4,2,0.012,0.012,22158,0,12916.67,15500,0,28416.67,2456
72540301,3,9,4,1,0.433,0.433,17800,0,0,11836.67,3111.667,14948.33,1382
72540302,4,9,4,1,0.85,0.85,19250,0,0,18633.33,8716.833,27350.17,1382
72540401,4,9,4,1,1.053,1.053,19950,0,0,33610,11310,44920,921
72540402,9,9,4,1,1.276,1.276,34667,0,25000,13350,13908.33,52258.33,921
72540501,2,9,4,1,2.855,2.855,17550,0,0,0,34008.33,34008.33,921
72540502,7,9,4,1,4.119,4.119,38917,0,0,105833.3,37268.33,143101.7,921
72541202,6,2,4,8,0.004,0.008,16000,0,16000,3500,0,19500,54
72541302,4,9,4,1,1.025,1.025,20500,0,0,9516.667,3667.5,17017.5,93
72541401,6,9,4,6,0.826,1.636,19000,0,10000,6333.333,12018,28351.33,47
72541402,4,9,4,1,1.636,1.636,12000,0,0,0,10673.33,10673.33,47
72541501,9,9,4,1,2.446,3.661,25000,0,0,6733.333,28191.67,34925,93
72541502,4,9,4,1,7.306,9.939,29000,0,0,2000,50138.33,52138.33,93
72542201,5,9,4,9,0.012,0.012,15000,0,0,-666.6667,0,-666.6667,2699
72542302,1,9,4,1,0.652,0.652,3000,0,0,0,6039.167,6039.167,14392
72542402,5,9,4,9,1.264,0.049,15000,0,5833.333,0,0,9166.667,4883
72542502,6,9,4,1,0.81,4.05,20417,0,0,-33.33333,24939.33,24906,3598
72543201,3,9,4,1,0.227,0.227,7125,0,0,2233.333,2323,4556.333,10089
72543301,6,9,4,1,0.429,0.429,12000,0,0,3200,804.1667,4004.167,6107
72543302,6,9,4,1,0.632,0.632,15000,0,0,5500,3032.083,8532.083,6107
72543401,4,9,4,1,1.251,1.251,12833,0,0,3666.667,12275.5,15942.17,3186
72543402,5,9,4,1,1.251,1.251,11000,0,0,3533.333,11250.83,14784.17,3186
72543501,3,9,4,1,3.139,3.139,11000,0,20000,-5600,32112.5,46512.5,4514
72543502,2,9,4,1,1.466,2.884,10250,4666.667,0,4116.667,31104.75,39888.08,4514
72544201,3,2,4,1,0.15,0.15,10000,0,0,7840,210,8050,153
72544202,3,2,1,7,0,0.012,10000,0,1000,1908.333,0,2908.333,153
72544301,7,2,4,1,0.81,0.81,21000,0,0,4966.667,4429.167,9395.833,332
72544302,6,2,4,2,0.219,0.219,15000,0,666.6667,1633.333,137.5,2437.5,332
72544401,6,3,1,1,2.025,6.075,20000,0,0,2350,69999.16,72349.16,255
72544402,6,9,4,1,0.016,1.231,25000,0,0,766.6667,10308.33,11075,255
72544501,5,3,4,1,2.847,2.847,20000,0,0,1610,25204.17,26814.17,740
72544502,5,3,1,1,0.81,4.86,25000,0,0,16183.33,22892.5,39075.83,740
72545202,5,9,1,7,0.207,0.207,12167,0,12916.67,4883.333,1332.5,19132.5,423
72545301,5,2,1,8,0.312,0.312,6833,0,5708.333,0,2779.167,8487.5,3384
72545401,4,3,1,9,1.239,1.239,7833,0,0,1856.667,12298.33,14155,1058
72545402,4,2,1,1,1.231,1.231,12083,0,0,3233.333,10693.33,13926.67,1058
72545501,7,9,1,1,1.426,1.426,12083,0,0,4900,15418.33,20318.33,952
72545502,6,9,1,1,2.037,2.037,19917,0,0,0,24170,24170,952
72546202,2,2,4,2,0.024,0.065,5500,0,0,871.6667,87.91666,959.5834,671
72546301,6,9,4,8,0.146,0.146,14383,0,17958.33,1946,338.3333,20242.67,122
72546302,8,3,2,5,0.259,0.51,16058,4400,38166.67,500,4372.667,47439.34,122
72546401,9,9,4,1,1.66,1.66,27300,0,0,10480,6942.083,17422.08,92
72546402,7,2,4,1,0.024,6.099,26000,0,2500,8016.667,32508.5,43025.16,92
72546502,8,9,4,1,7.574,20.331,49492,0,0,8326.667,208352.3,216679,549
72547301,3,9,4,1,0.502,0.502,16000,0,0,1466.667,3960.417,5427.083,18
72547302,4,9,4,1,1.025,1.025,12020,0,0,1900,6147.75,8047.75,18
72547303,4,9,4,1,0.644,0.644,12000,0,0,-1333.333,3899.167,2565.833,18
72547304,5,9,4,1,0.644,0.644,17000,0,0,800,6291.25,7091.25,18
72547305,4,9,4,1,0.721,0.721,20000,0,0,160,2841.25,3001.25,18
72547306,4,9,4,1,0.624,0.624,14000,0,0,400,5626.25,6026.25,18
72547402,7,9,4,1,1.62,0.81,50667,0,0,6833.333,14988.08,24988.08,140
72547501,5,9,4,1,2.179,2.179,46000,0,0,1750,31609.67,33359.66,140
72548201,4,9,4,2,1.66,0.04,16215,0,0,4620,0,19620,4551
72548202,4,2,4,8,0.008,0.012,8125,0,9133.333,920,0,10053.33,4551
72548301,6,9,4,1,2.673,1.053,16208,0,0,5137,5530,32000.33,1722
72548302,8,2,4,8,0.433,0.433,19125,0,14333.33,0,1533.75,17950.42,1722
72548401,4,9,4,5,1.567,1.567,14617,0,40000,3406.667,11878.75,55285.42,2337
72548402,4,9,4,4,1.045,1.045,17833,13566.67,0,4260,10769.75,28596.42,2337
72548501,2,9,4,1,0.891,3.321,13300,0,0,5373.333,22460.83,27834.17,2706
72548502,8,9,4,1,5.103,5.103,25225,0,0,7159,59387.75,66546.75,2706
72549201,7,2,1,4,0.028,0.028,20000,0,6833.333,350,-173.1667,7010.167,306
72549202,5,2,1,8,0.004,0.004,10000,0,16500,2233.333,0,18733.33,306
72549301,5,2,1,1,0.413,0.413,12167,0,0,2025,2036.667,4061.667,272
72549302,5,2,1,1,0.34,0.34,14000,0,2816.667,0,4401.667,7218.333,272
72549401,4,9,4,4,1.025,1.025,11250,4333.333,0,2133.333,6401.667,12868.33,374
72549402,3,9,4,1,1.025,1.025,10833,0,0,566.6667,6936.333,7503,374
72549502,5,9,1,1,2.442,2.442,15083,0,0,133.3333,12869.25,13002.58,612
72550201,5,3,4,1,0.215,0.215,21442,0,0,-800,2649.167,1849.167,3266
72550202,5,3,4,6,0.134,0.134,17742,0,46666.67,963.3333,442.5,48072.5,3266
72550301,4,3,4,6,1.029,0.522,17067,0,38000,0,5239.167,49905.84,4260
72550302,6,3,4,6,0.417,0.417,17350,0,10916.67,2960,3167.5,17044.17,4260
72550401,6,9,4,1,1.636,3.256,14725,0,0,12593.33,8590,21183.33,8804
72550501,3,9,4,1,2.458,5.698,13153,0,0,4480,3949.167,8429.167,2556
72550502,4,9,4,1,1.644,1.644,12529,0,4000,8206.667,11656.25,23862.92,2556
72551101,6,2,4,7,0.008,0.008,5917,0,5541.667,1858.333,0,7400,13110
72551201,6,2,4,1,0.016,1.636,18000,0,0,833.3333,14013,14846.33,1725
72551301,4,2,4,1,0.34,2.163,16800,0,0,-533.3333,17583.75,17050.42,759
72551302,6,9,1,1,1.025,1.025,17450,0,0,6483.333,18350.33,24833.67,759
72551401,5,2,4,1,1.126,1.126,10050,0,0,-466.6667,10611.33,10144.67,966
72551402,4,9,1,1,2.057,2.057,16000,0,0,4866.667,19400.83,24267.5,966
72551501,4,9,5,1,2.551,9.031,16125,0,0,8850,101638.2,110488.2,2277
72551502,5,2,4,1,1.742,2.045,15100,0,0,3758.333,16422.67,20181,2277
72552202,7,2,4,6,0,0.126,14233,0,15475,-50,0,15425,2572
72552301,4,9,4,1,0.628,0.628,12500,0,2400,2183.333,6725,11308.33,1143
72552302,3,9,4,1,1.328,2.543,11500,0,0,6143.333,14558.33,20701.67,1143
72552402,6,2,4,1,0.81,0.81,10992,0,0,5943.333,7619.583,13562.92,381
72552501,4,9,4,1,0.83,0.83,12125,0,0,0,10552.5,10552.5,5429
72552502,5,9,4,1,0.859,0.96,12500,0,1000,3186.667,5778.75,13246.67,5429
72553201,3,2,4,6,0.012,0.012,6000,0,7000,4950,0,11950,1311
72553202,5,2,4,7,0.012,0.012,10000,0,7100,2083.333,0,9183.333,1311
72553302,5,3,4,1,0.826,0.826,15000,0,6666.667,7600,12875,27141.67,2622
72553401,4,9,4,1,1.231,1.231,16125,0,0,5383.333,12317.08,17700.42,1656
72553402,3,9,4,1,1.227,1.227,10892,0,10200,0,16381.08,26581.08,1656
72553501,5,9,4,1,3.264,3.264,18167,0,0,4416.667,42312.25,46728.92,3312
72553502,6,9,4,1,3.276,4.491,30000,0,0,3466.667,47473.83,50940.5,3312
72554201,8,2,4,7,0.012,0.012,12583,0,25083.33,-1083.333,0,24000,595
72554202,5,2,4,8,0.34,0.008,9054,0,5416.667,-1128.667,0,5954.667,595
72554301,4,2,1,8,0.016,0.348,11417,0,5125,0,3397.5,8522.5,238
72554302,3,9,4,6,0.672,0.672,9183,0,9000,2203.333,6296.25,17499.58,238
72554401,2,9,4,1,1.235,1.235,8767,0,0,1286.667,18912.08,20198.75,387
72554402,6,9,4,1,1.628,6.893,12967,0,31000,9023.333,26010,66033.33,387
72554502,3,3,4,1,0.008,2.944,8400,0,0,263.3333,-2207.083,-1943.75,1071
72555201,3,9,4,6,0.547,0.117,10000,0,11500,7883.333,216.6667,27550,389
72555202,5,9,4,1,2.041,2.041,20000,0,0,2233.333,7024.167,19674.17,389
72555301,3,9,4,1,0.62,0.62,10050,0,0,1400,6215.417,7615.417,3112
72555302,6,9,4,7,0.421,0.016,15000,0,6541.667,6816.667,0,20858.33,3112
72555401,3,9,4,1,0.822,1.227,15017,1200,0,4350,11586.58,17136.58,5252
72555501,7,9,4,1,14.596,4.876,29833,0,0,16960,46965,146425,9142
72555502,8,9,4,1,8.153,11.19,24000,0,7000,16736.67,72176,114662.7,9142
72556102,7,3,4,8,0.02,0.02,13933,0,13333.33,4400,22.5,17755.83,10973
72556201,5,9,4,6,2.875,0.445,15267,0,8000,7050,2226.667,37276.67,5586
